Round,Language,Fibonacci Number,Implementation,Time Elsaped,Operation Count
22fdeb5c53914c1e94a1c60cf092b146,C,1,Iterative,0.0000000850,1
22fdeb5c53914c1e94a1c60cf092b146,C,1,Dynamic,0.0000000830,2
22fdeb5c53914c1e94a1c60cf092b146,C,1,Recursive,0.0000000810,2
22fdeb5c53914c1e94a1c60cf092b146,C,2,Iterative,0.0000001010,6
22fdeb5c53914c1e94a1c60cf092b146,C,2,Dynamic,0.0000064530,13
22fdeb5c53914c1e94a1c60cf092b146,C,2,Recursive,0.0000001370,8
22fdeb5c53914c1e94a1c60cf092b146,C,3,Iterative,0.0000001050,9
22fdeb5c53914c1e94a1c60cf092b146,C,3,Dynamic,0.0000080620,20
22fdeb5c53914c1e94a1c60cf092b146,C,3,Recursive,0.0000001580,14
22fdeb5c53914c1e94a1c60cf092b146,C,4,Iterative,0.0000001050,12
22fdeb5c53914c1e94a1c60cf092b146,C,4,Dynamic,0.0000075500,27
22fdeb5c53914c1e94a1c60cf092b146,C,4,Recursive,0.0000001870,26
22fdeb5c53914c1e94a1c60cf092b146,C,5,Iterative,0.0000001120,15
22fdeb5c53914c1e94a1c60cf092b146,C,5,Dynamic,0.0000081200,34
22fdeb5c53914c1e94a1c60cf092b146,C,5,Recursive,0.0000002130,44
22fdeb5c53914c1e94a1c60cf092b146,C,6,Iterative,0.0000001080,18
22fdeb5c53914c1e94a1c60cf092b146,C,6,Dynamic,0.0000076000,41
22fdeb5c53914c1e94a1c60cf092b146,C,6,Recursive,0.0000003010,74
22fdeb5c53914c1e94a1c60cf092b146,C,7,Iterative,0.0000001110,21
22fdeb5c53914c1e94a1c60cf092b146,C,7,Dynamic,0.0000071160,48
22fdeb5c53914c1e94a1c60cf092b146,C,7,Recursive,0.0000004820,122
22fdeb5c53914c1e94a1c60cf092b146,C,8,Iterative,0.0000001100,24
22fdeb5c53914c1e94a1c60cf092b146,C,8,Dynamic,0.0000063260,55
22fdeb5c53914c1e94a1c60cf092b146,C,8,Recursive,0.0000004740,200
22fdeb5c53914c1e94a1c60cf092b146,C,9,Iterative,0.0000001140,27
22fdeb5c53914c1e94a1c60cf092b146,C,9,Dynamic,0.0000064090,62
22fdeb5c53914c1e94a1c60cf092b146,C,9,Recursive,0.0000006760,326
22fdeb5c53914c1e94a1c60cf092b146,C,10,Iterative,0.0000001170,30
22fdeb5c53914c1e94a1c60cf092b146,C,10,Dynamic,0.0000067880,69
22fdeb5c53914c1e94a1c60cf092b146,C,10,Recursive,0.0000009910,530
22fdeb5c53914c1e94a1c60cf092b146,C,11,Iterative,0.0000001140,33
22fdeb5c53914c1e94a1c60cf092b146,C,11,Dynamic,0.0000071310,76
22fdeb5c53914c1e94a1c60cf092b146,C,11,Recursive,0.0000011690,860
22fdeb5c53914c1e94a1c60cf092b146,C,12,Iterative,0.0000001270,36
22fdeb5c53914c1e94a1c60cf092b146,C,12,Dynamic,0.0000072230,83
22fdeb5c53914c1e94a1c60cf092b146,C,12,Recursive,0.0000015580,1394
22fdeb5c53914c1e94a1c60cf092b146,C,13,Iterative,0.0000001210,39
22fdeb5c53914c1e94a1c60cf092b146,C,13,Dynamic,0.0000062440,90
22fdeb5c53914c1e94a1c60cf092b146,C,13,Recursive,0.0000022360,2258
22fdeb5c53914c1e94a1c60cf092b146,C,14,Iterative,0.0000001610,42
22fdeb5c53914c1e94a1c60cf092b146,C,14,Dynamic,0.0000077340,97
22fdeb5c53914c1e94a1c60cf092b146,C,14,Recursive,0.0000043250,3656
22fdeb5c53914c1e94a1c60cf092b146,C,15,Iterative,0.0000001250,45
22fdeb5c53914c1e94a1c60cf092b146,C,15,Dynamic,0.0000065790,104
22fdeb5c53914c1e94a1c60cf092b146,C,15,Recursive,0.0000053400,5918
22fdeb5c53914c1e94a1c60cf092b146,C,16,Iterative,0.0000001300,48
22fdeb5c53914c1e94a1c60cf092b146,C,16,Dynamic,0.0000067930,111
22fdeb5c53914c1e94a1c60cf092b146,C,16,Recursive,0.0000087830,9578
22fdeb5c53914c1e94a1c60cf092b146,C,17,Iterative,0.0000001350,51
22fdeb5c53914c1e94a1c60cf092b146,C,17,Dynamic,0.0000079280,118
22fdeb5c53914c1e94a1c60cf092b146,C,17,Recursive,0.0000134320,15500
22fdeb5c53914c1e94a1c60cf092b146,C,18,Iterative,0.0000001380,54
22fdeb5c53914c1e94a1c60cf092b146,C,18,Dynamic,0.0000064990,125
22fdeb5c53914c1e94a1c60cf092b146,C,18,Recursive,0.0000214810,25082
22fdeb5c53914c1e94a1c60cf092b146,C,19,Iterative,0.0000001250,57
22fdeb5c53914c1e94a1c60cf092b146,C,19,Dynamic,0.0000069900,132
22fdeb5c53914c1e94a1c60cf092b146,C,19,Recursive,0.0000343150,40586
22fdeb5c53914c1e94a1c60cf092b146,C,20,Iterative,0.0000001380,60
22fdeb5c53914c1e94a1c60cf092b146,C,20,Dynamic,0.0000066940,139
22fdeb5c53914c1e94a1c60cf092b146,C,20,Recursive,0.0000557080,65672
22fdeb5c53914c1e94a1c60cf092b146,C,21,Iterative,0.0000001440,63
22fdeb5c53914c1e94a1c60cf092b146,C,21,Dynamic,0.0000076500,146
22fdeb5c53914c1e94a1c60cf092b146,C,21,Recursive,0.0000957530,106262
22fdeb5c53914c1e94a1c60cf092b146,C,22,Iterative,0.0000001480,66
22fdeb5c53914c1e94a1c60cf092b146,C,22,Dynamic,0.0000066300,153
22fdeb5c53914c1e94a1c60cf092b146,C,22,Recursive,0.0001556670,171938
22fdeb5c53914c1e94a1c60cf092b146,C,23,Iterative,0.0000001370,69
