Fibonacci Number,Itterative,Recrusive,Dynamic
f_0,8.9e-08,4.3e-08,3.8e-08
f_1,1.06e-07,5.5e-08,3.8e-08
f_2,1.22e-07,1.17e-07,8.158e-06
f_3,1.04e-07,1.35e-07,6.708e-06
f_4,1.11e-07,1.77e-07,7.422e-06
f_5,1.14e-07,2.52e-07,7.275e-06
f_6,1.13e-07,2.79e-07,6.426e-06
f_7,1.1e-07,4.57e-07,6.738e-06
f_8,1.4e-07,5.92e-07,8.015e-06
f_9,1.18e-07,6.59e-07,7.153e-06
f_10,1.18e-07,9.85e-07,7.041e-06
f_11,1.18e-07,9.81e-07,5.88e-06
f_12,1.25e-07,1.484e-06,6.645e-06
f_13,1.28e-07,2.12e-06,8.252e-06
f_14,1.28e-07,3.116e-06,6.708e-06
f_15,1.33e-07,4.932e-06,8.902e-06
f_16,1.32e-07,6.286e-06,6.481e-06
f_17,1.3e-07,1.0354e-05,7.374e-06
f_18,1.34e-07,1.635e-05,6.51e-06
f_19,1.34e-07,2.5956e-05,7.626e-06
f_20,1.35e-07,4.3283e-05,7.604e-06
f_21,1.47e-07,7.5741e-05,8.092e-06
f_22,1.35e-07,0.000119046,6.759e-06
f_23,1.41e-07,0.000192977,7.267e-06
f_24,1.47e-07,0.000308809,6.73e-06
f_25,1.41e-07,0.000490395,6.511e-06
f_26,1.47e-07,0.000693511,8.762e-06
f_27,1.52e-07,0.00122915,9.13e-06
f_28,1.48e-07,0.002095438,1.0373e-05
f_29,1.52e-07,0.002992829,9.474e-06
f_30,1.55e-07,0.005067562,1.2791e-05
f_31,1.54e-07,0.008197525,8.17e-06
f_32,2.05e-07,0.01358307,2.1234e-05
f_33,1.68e-07,0.021349957,2.8257e-05
f_34,1.71e-07,0.031964767,2.6011e-05
f_35,1.65e-07,0.055519394,2.7428e-05
f_36,1.74e-07,0.090240293,2.7199e-05
f_37,1.68e-07,0.144339693,3.9911e-05
f_38,1.79e-07,0.247503575,2.5751e-05
f_39,1.79e-07,0.375327116,2.9416e-05
f_40,1.94e-07,0.623194739,3.167e-05
f_41,1.79e-07,1.036498804,3.793e-05
f_42,1.9e-07,1.638477862,3.8351e-05
f_43,1.81e-07,2.608318418,3.4347e-05
f_44,2.08e-07,4.27119384,3.9507e-05
f_45,2.04e-07,6.942076861,2.1174e-05
f_46,1.96e-07,11.086006283,3.0461e-05
f_47,1.99e-07,18.074094465,3.0931e-05
f_48,1.99e-07,29.227145578,2.8361e-05
f_49,2.08e-07,-1.0,7.915e-06
f_50,2.25e-07,-1.0,7.184e-06
f_51,2.11e-07,-1.0,7.443e-06
f_52,2.15e-07,-1.0,7.122e-06
f_53,2.17e-07,-1.0,6.813e-06
f_54,2.09e-07,-1.0,7.099e-06
f_55,2.22e-07,-1.0,6.656e-06
f_56,2.15e-07,-1.0,6.344e-06
f_57,2.72e-07,-1.0,6.43e-06
f_58,2.49e-07,-1.0,6.935e-06
f_59,2.68e-07,-1.0,7.351e-06
f_60,2.3e-07,-1.0,7.978e-06
f_61,2.32e-07,-1.0,6.097e-06
f_62,2.36e-07,-1.0,7.505e-06
f_63,2.44e-07,-1.0,6.437e-06
f_64,2.37e-07,-1.0,7.204e-06
f_65,2.44e-07,-1.0,6.557e-06
f_66,2.45e-07,-1.0,7.084e-06
f_67,2.47e-07,-1.0,6.054e-06
f_68,2.54e-07,-1.0,6.657e-06
f_69,2.48e-07,-1.0,8.027e-06
f_70,2.56e-07,-1.0,8.939e-06
f_71,2.55e-07,-1.0,7.368e-06
f_72,2.54e-07,-1.0,7.148e-06
f_73,2.56e-07,-1.0,7.233e-06
f_74,2.48e-07,-1.0,7.132e-06
f_75,2.62e-07,-1.0,6.36e-06
f_76,2.46e-07,-1.0,7.879e-06
f_77,2.65e-07,-1.0,7.372e-06
f_78,2.62e-07,-1.0,8.006e-06
f_79,2.71e-07,-1.0,6.763e-06
f_80,2.93e-07,-1.0,6.593e-06
f_81,2.64e-07,-1.0,7.977e-06
f_82,2.7e-07,-1.0,7.306e-06
f_83,2.71e-07,-1.0,7.439e-06
f_84,2.68e-07,-1.0,7.134e-06
f_85,2.76e-07,-1.0,6.267e-06
f_86,2.79e-07,-1.0,7.029e-06
f_87,2.76e-07,-1.0,6.791e-06
f_88,2.81e-07,-1.0,7.77e-06
f_89,2.89e-07,-1.0,7.772e-06
f_90,2.83e-07,-1.0,7.412e-06
f_91,2.81e-07,-1.0,8.049e-06
f_92,2.89e-07,-1.0,6.881e-06
f_93,2.78e-07,-1.0,6.842e-06
f_94,2.69e-07,-1.0,7.699e-06
f_95,2.95e-07,-1.0,6.442e-06
f_96,2.99e-07,-1.0,6.612e-06
f_97,2.92e-07,-1.0,6.378e-06
f_98,2.96e-07,-1.0,6.993e-06
f_99,2.96e-07,-1.0,6.835e-06
f_100,3.17e-07,-1.0,7.225e-06
f_101,3.2e-07,-1.0,6.789e-06
f_102,3.03e-07,-1.0,6.696e-06
f_103,3.11e-07,-1.0,6.351e-06
f_104,2.99e-07,-1.0,7.34e-06
f_105,3.05e-07,-1.0,6.987e-06
f_106,3e-07,-1.0,7.187e-06
f_107,3.11e-07,-1.0,6.487e-06
f_108,3.23e-07,-1.0,6.747e-06
f_109,3.13e-07,-1.0,6.733e-06
f_110,3.13e-07,-1.0,7.071e-06
f_111,3.88e-07,-1.0,6.694e-06
f_112,3.23e-07,-1.0,6.601e-06
f_113,3.64e-07,-1.0,7.178e-06
f_114,3.21e-07,-1.0,7.479e-06
f_115,3.25e-07,-1.0,7.184e-06
f_116,3.89e-07,-1.0,1.3133e-05
f_117,3.16e-07,-1.0,6.619e-06
f_118,3.29e-07,-1.0,6.309e-06
f_119,3.24e-07,-1.0,6.72e-06
f_120,3.22e-07,-1.0,6.156e-06
f_121,3.54e-07,-1.0,6.203e-06
f_122,3.31e-07,-1.0,6.609e-06
f_123,3.46e-07,-1.0,7.463e-06
f_124,3.85e-07,-1.0,8.072e-06
f_125,3.47e-07,-1.0,9.138e-06
f_126,3.41e-07,-1.0,6.438e-06
f_127,3.26e-07,-1.0,8.59e-06
f_128,3.93e-07,-1.0,7.161e-06
f_129,3.17e-07,-1.0,6.676e-06
f_130,3.89e-07,-1.0,9.06e-06
f_131,4.47e-07,-1.0,7.758e-06
f_132,3.53e-07,-1.0,6.307e-06
f_133,3.5e-07,-1.0,8.273e-06
f_134,3.43e-07,-1.0,7.354e-06
f_135,3.55e-07,-1.0,6.394e-06
f_136,3.41e-07,-1.0,6.939e-06
f_137,3.55e-07,-1.0,7.16e-06
f_138,3.6e-07,-1.0,7.464e-06
f_139,3.62e-07,-1.0,7.452e-06
f_140,3.64e-07,-1.0,8.09e-06
f_141,3.65e-07,-1.0,8.208e-06
f_142,3.86e-07,-1.0,8.176e-06
f_143,3.6e-07,-1.0,6.382e-06
f_144,3.78e-07,-1.0,7.146e-06
f_145,3.66e-07,-1.0,8.754e-06
f_146,3.74e-07,-1.0,8.101e-06
f_147,3.77e-07,-1.0,7.025e-06
f_148,3.67e-07,-1.0,8.199e-06
f_149,3.86e-07,-1.0,8.109e-06
f_150,3.84e-07,-1.0,6.682e-06
f_151,3.77e-07,-1.0,9.585e-06
f_152,3.78e-07,-1.0,6.758e-06
f_153,3.85e-07,-1.0,7.06e-06
f_154,3.89e-07,-1.0,8.934e-06
f_155,3.88e-07,-1.0,7.062e-06
f_156,3.99e-07,-1.0,6.541e-06
f_157,3.95e-07,-1.0,8.528e-06
f_158,4.38e-07,-1.0,7.821e-06
f_159,3.92e-07,-1.0,6.534e-06
f_160,3.94e-07,-1.0,7.772e-06
f_161,4.36e-07,-1.0,8.802e-06
f_162,4.67e-07,-1.0,9.912e-06
f_163,4.03e-07,-1.0,8.734e-06
f_164,3.99e-07,-1.0,9.646e-06
f_165,4.09e-07,-1.0,7.497e-06
f_166,3.82e-07,-1.0,8.766e-06
f_167,3.69e-07,-1.0,9.309e-06
f_168,4.12e-07,-1.0,8.82e-06
f_169,3.8e-07,-1.0,8.069e-06
f_170,4.12e-07,-1.0,8.601e-06
f_171,3.71e-07,-1.0,6.807e-06
f_172,4.12e-07,-1.0,8.83e-06
f_173,4.26e-07,-1.0,8.765e-06
f_174,4.17e-07,-1.0,6.935e-06
f_175,4.22e-07,-1.0,8.907e-06
f_176,3.71e-07,-1.0,7.586e-06
f_177,4.39e-07,-1.0,7.456e-06
f_178,4.12e-07,-1.0,9.021e-06
f_179,4.19e-07,-1.0,9.149e-06
f_180,4.44e-07,-1.0,7.135e-06
f_181,4.36e-07,-1.0,8.619e-06
f_182,4.39e-07,-1.0,8.994e-06
f_183,4.32e-07,-1.0,9.122e-06
f_184,4.24e-07,-1.0,8.141e-06
f_185,4.44e-07,-1.0,2.0876e-05
f_186,3.8e-07,-1.0,8.781e-06
f_187,4.36e-07,-1.0,1.0762e-05
f_188,4.24e-07,-1.0,8.767e-06
f_189,4.39e-07,-1.0,8.753e-06
f_190,4.47e-07,-1.0,8.865e-06
f_191,4.98e-07,-1.0,9.103e-06
f_192,4.48e-07,-1.0,8.782e-06
f_193,4.62e-07,-1.0,8.644e-06
f_194,5.12e-07,-1.0,8.146e-06
f_195,4.41e-07,-1.0,8.367e-06
f_196,4.23e-07,-1.0,8.833e-06
f_197,4.6e-07,-1.0,8.958e-06
f_198,4.48e-07,-1.0,9.056e-06
f_199,4.5e-07,-1.0,8.732e-06
f_200,4.52e-07,-1.0,1.0202e-05
